y,count
17969,1
18003,1
18035,1
18037,2
18039,1
18065,1
18068,2
18071,3
18074,2
18077,1
18093,1
18097,2
18099,2
18101,3
18103,2
18105,5
18107,2
18109,3
18111,2
18113,2
18117,1
18119,1
18124,2
18127,2
18129,3
18131,2
18132,2
18134,4
18135,1
18136,2
18137,2
18139,7
18141,2
18142,2
18143,2
18144,4
18146,2
18147,2
18149,5
18151,2
18153,2
18154,2
18155,5
18158,2
18159,3
18161,8
18163,3
18164,2
18165,5
18167,10
18168,2
18169,2
18170,4
18171,4
18172,2
18173,15
18175,4
18176,4
18177,4
18178,2
18179,13
18180,2
18181,4
18182,2
18183,5
18184,2
18185,11
18186,4
18187,6
18188,2
18189,3
18190,2
18191,7
18192,6
18193,9
18194,4
18195,5
18196,2
18197,6
18198,4
18199,8
18200,8
18201,10
18202,4
18203,8
18204,6
18205,7
18206,6
18207,17
18208,4
18209,11
18210,6
18211,8
18212,6
18213,14
18214,10
18215,10
18216,4
18217,15
18218,2
18219,14
18220,8
18221,17
18222,8
18223,12
18224,6
18225,16
18226,2
18227,21
18228,8
18229,18
18230,10
18231,18
18232,2
18233,25
18234,8
18235,20
18236,10
18237,23
18238,8
18239,24
18240,8
18241,28
18242,12
18243,22
18244,10
18245,29
18246,8
18247,24
18248,18
18249,33
18250,2
18251,34
18252,10
18253,22
18254,22
18255,28
18256,12
18257,40
18258,8
18259,32
18260,22
18261,31
18262,10
18263,39
18264,20
18265,25
18266,30
18267,36
18268,18
18269,56
18270,14
18271,34
18272,26
18273,36
18274,20
18275,58
18276,18
18277,44
18278,32
18279,52
18280,20
18281,61
18282,26
18283,38
18284,44
18285,40
18286,24
18287,68
18288,30
18289,66
18290,32
18291,63
18292,28
18293,67
18294,38
18295,55
18296,42
18297,62
18298,30
18299,101
18300,30
18301,76
18302,44
18303,77
18304,40
18305,84
18306,42
18307,81
18308,48
18309,116
18310,36
18311,105
18312,50
18313,74
18314,72
18315,91
18316,54
18317,119
18318,48
18319,113
18320,60
18321,118
18322,58
18323,128
18324,70
18325,102
18326,74
18327,133
18328,58
18329,163
18330,70
18331,117
18332,88
18333,143
18334,76
18335,161
18336,78
18337,141
18338,96
18339,164
18340,86
18341,198
18342,84
18343,162
18344,124
18345,174
18346,90
18347,228
18348,106
18349,187
18350,120
18351,191
18352,96
18353,240
18354,142
18355,188
18356,144
18357,234
18358,106
18359,287
18360,136
18361,234
18362,168
18363,250
18364,130
18365,313
18366,138
18367,253
18368,196
18369,297
18370,138
18371,349
18372,170
18373,278
18374,220
18375,324
18376,164
18377,424
18378,172
18379,337
18380,232
18381,357
18382,202
18383,425
18384,234
18385,356
18386,260
18387,413
18388,220
18389,523
18390,226
18391,421
18392,286
18393,440
18394,260
18395,517
18396,296
18397,468
18398,324
18399,539
18400,270
18401,614
18402,318
18403,514
18404,414
18405,543
18406,314
18407,662
18408,342
18409,612
18410,422
18411,664
18412,360
18413,722
18414,430
18415,624
18416,480
18417,786
18418,364
18419,875
18420,442
18421,720
18422,532
18423,786
18424,518
18425,911
18426,490
18427,816
18428,594
18429,913
18430,486
18431,1086
18432,592
18433,888
18434,734
18435,970
18436,570
18437,1153
18438,652
18439,1067
18440,732
18441,1129
18442,626
18443,1267
18444,770
18445,1168
18446,864
18447,1255
18448,688
18449,1488
18450,744
18451,1331
18452,1000
18453,1362
18454,892
18455,1532
18456,928
18457,1433
18458,1040
18459,1696
18460,828
18461,1783
18462,1042
18463,1494
18464,1292
18465,1707
18466,1044
18467,1999
18468,1068
18469,1842
18470,1280
18471,1959
18472,1166
18473,2229
18474,1344
18475,1877
18476,1504
18477,2161
18478,1260
18479,2550
18480,1438
18481,2152
18482,1662
18483,2295
18484,1544
18485,2658
18486,1598
18487,2498
18488,1802
18489,2741
18490,1566
18491,3012
18492,1802
18493,2646
18494,2162
18495,2860
18496,1826
18497,3361
18498,1900
18499,3108
18500,2228
18501,3341
18502,2012
18503,3577
18504,2302
18505,3198
18506,2592
18507,3601
18508,2320
18509,4128
18510,2386
18511,3681
18512,2832
18513,3965
18514,2576
18515,4411
18516,2804
18517,4068
18518,3070
18519,4570
18520,2700
18521,4959
18522,3088
18523,4432
18524,3602
18525,4804
18526,3048
18527,5511
18528,3294
18529,5155
18530,3834
18531,5394
18532,3434
18533,5907
18534,3874
18535,5360
18536,4358
18537,5982
18538,3680
18539,6799
18540,4074
18541,6079
18542,4768
18543,6491
18544,4430
18545,7164
18546,4556
18547,6808
18548,5078
18549,7344
18550,4708
18551,8003
18552,5194
18553,7252
18554,5936
18555,7756
18556,5208
18557,8971
18558,5530
18559,8282
18560,6232
18561,8804
18562,5756
18563,9567
18564,6640
18565,8703
18566,7028
18567,9662
18568,6286
18569,10836
18570,6732
18571,10023
18572,7730
18573,10364
18574,7264
18575,11497
18576,7702
18577,10795
18578,8514
18579,11844
18580,7564
18581,12982
18582,8456
18583,11638
18584,9694
18585,12620
18586,8642
18587,14115
18588,9178
18589,13294
18590,10136
18591,14021
18592,9692
18593,15115
18594,10524
18595,14089
18596,11426
18597,15422
18598,10218
18599,17341
18600,11058
18601,15787
18602,12578
18603,16506
18604,11818
18605,18202
18606,12530
18607,17414
18608,13558
18609,18758
18610,12462
18611,20196
18612,13718
18613,18805
18614,15414
18615,19993
18616,14000
18617,22017
18618,14780
18619,21104
18620,16546
18621,22214
18622,15434
18623,23757
18624,16852
18625,22251
18626,18332
18627,24515
18628,16554
18629,26895
18630,17700
18631,24823
18632,20124
18633,26078
18634,19252
18635,28361
18636,19962
18637,27157
18638,21570
18639,29331
18640,20056
18641,31818
18642,21890
18643,29238
18644,24518
18645,31047
18646,22352
18647,34415
18648,23834
18649,33023
18650,25826
18651,34585
18652,24612
18653,36936
18654,26746
18655,35299
18656,28888
18657,37670
18658,26390
18659,41396
18660,28320
18661,38750
18662,31872
18663,40505
18664,30028
18665,43860
18666,31604
18667,42364
18668,33938
18669,45664
18670,31682
18671,48541
18672,34526
18673,45554
18674,38234
18675,48104
18676,35820
18677,52860
18678,37108
18679,50900
18680,40486
18681,53286
18682,38636
18683,57295
18684,41768
18685,54033
18686,44976
18687,58099
18688,41772
18689,63151
18690,44688
18691,59672
18692,48974
18693,62387
18694,46940
18695,67309
18696,49204
18697,65507
18698,52746
18699,69411
18700,49896
18701,73964
18702,53570
18703,69860
18704,59506
18705,73859
18706,55260
18707,80545
18708,57690
18709,77636
18710,62714
18711,81878
18712,60326
18713,86247
18714,64654
18715,82567
18716,69234
18717,88634
18718,65424
18719,95606
18720,68654
18721,91024
18722,75324
18723,94882
18724,72732
18725,102290
18726,75790
18727,99001
18728,81034
18729,105171
18730,76928
18731,111951
18732,83318
18733,106040
18734,90314
18735,111758
18736,85026
18737,121441
18738,88678
18739,118517
18740,95878
18741,122706
18742,92756
18743,129911
18744,99188
18745,125116
18746,106124
18747,133276
18748,99514
18749,143530
18750,105136
18751,137724
18752,114684
18753,143617
18754,110762
18755,152751
18756,115736
18757,148985
18758,123224
18759,157779
18760,118430
18761,167364
18762,125838
18763,159895
18764,136640
18765,167758
18766,129666
18767,181664
18768,135326
18769,176211
18770,145220
18771,183853
18772,140924
18773,194071
18774,150610
18775,187674
18776,159300
18777,199127
18778,151160
18779,213614
18780,158980
18781,206374
18782,172720
18783,213249
18784,167990
18785,227141
18786,174658
18787,222376
18788,186056
18789,234516
18790,178274
18791,247976
18792,190052
18793,237765
18794,204842
18795,250522
18796,195654
18797,268140
18798,203198
18799,262013
18800,217424
18801,272235
18802,213352
18803,287048
18804,224516
18805,278938
18806,237732
18807,294627
18808,227506
18809,315800
18810,238834
18811,304038
18812,257636
18813,315376
18814,251176
18815,334646
18816,262858
18817,328262
18818,276130
18819,345814
18820,267108
18821,364436
18822,282916
18823,353118
18824,303822
18825,367723
18826,291928
18827,393339
18828,303156
18829,385595
18830,324328
18831,400873
18832,315738
18833,420860
18834,333262
18835,410134
18836,352824
18837,433373
18838,338608
18839,459975
18840,354616
18841,446381
18842,381166
18843,462248
18844,373958
18845,488445
18846,386996
18847,481651
18848,407918
18849,505457
18850,396078
18851,532707
18852,418158
18853,515252
18854,447302
18855,537214
18856,431740
18857,572337
18858,449102
18859,562813
18860,475416
18861,583880
18862,466274
18863,611927
18864,490982
18865,600102
18866,517114
18867,628956
18868,499452
18869,666742
18870,522062
18871,649611
18872,560060
18873,671692
18874,547236
18875,709313
18876,568044
18877,699453
18878,596738
18879,734002
18880,582164
18881,768433
18882,612666
18883,748012
18884,651890
18885,778828
18886,634768
18887,827050
18888,655378
18889,814031
18890,693354
18891,843727
18892,682246
18893,885410
18894,715992
18895,865723
18896,753204
18897,906905
18898,730200
18899,959534
18900,763098
18901,937923
18902,810592
18903,968871
18904,797802
18905,1019430
18906,826126
18907,1011560
18908,866062
18909,1053493
18910,846784
18911,1102861
18912,889498
18913,1076713
18914,946836
18915,1119459
18916,919330
18917,1184280
18918,950080
18919,1170265
18920,1003414
18921,1213314
18922,989500
18923,1262886
18924,1036028
18925,1242454
18926,1087294
18927,1300261
18928,1060422
18929,1369638
18930,1100380
18931,1343600
18932,1168106
18933,1386673
18934,1151238
18935,1459003
18936,1191142
18937,1442192
18938,1248066
18939,1503015
18940,1223682
18941,1571104
18942,1284000
18943,1538394
18944,1355002
18945,1596828
18946,1324494
18947,1684435
18948,1368596
18949,1670229
18950,1439278
18951,1722797
18952,1423932
18953,1795732
18954,1485560
18955,1771071
18956,1558830
18957,1847172
18958,1519310
18959,1943688
18960,1578624
18961,1909676
18962,1669958
18963,1972598
18964,1649634
18965,2062523
18966,1705758
18967,2047359
18968,1781270
18969,2129066
18970,1756254
18971,2221809
18972,1831106
18973,2181739
18974,1930658
18975,2260490
18976,1892838
18977,2382712
18978,1952418
18979,2359257
18980,2049216
18981,2434850
18982,2030928
18983,2533739
18984,2120632
18985,2503098
18986,2210666
18987,2607104
18988,2164254
18989,2735630
18990,2245988
18991,2699819
18992,2370028
18993,2775618
18994,2345398
18995,2901814
18996,2422240
18997,2884982
18998,2529566
18999,2995026
19000,2490138
19001,3119678
19002,2595136
19003,3072590
19004,2730270
19005,3183029
19006,2683666
19007,3335946
19008,2765600
19009,3312327
19010,2897320
19011,3417065
19012,2880160
19013,3549723
19014,2988764
19015,3515468
19016,3117706
19017,3653139
19018,3063842
19019,3828962
19020,3171596
19021,3775563
19022,3337348
19023,3886770
19024,3309864
19025,4055036
19026,3419130
19027,4035508
19028,3552936
19029,4185144
19030,3511402
19031,4351777
19032,3652792
19033,4299456
19034,3832240
19035,4436605
19036,3777642
19037,4647750
19038,3887840
19039,4622957
19040,4070340
19041,4760962
19042,4039088
19043,4941385
19044,4193504
19045,4899737
19046,4366624
19047,5090782
19048,4299954
19049,5310005
19050,4448112
19051,5255836
19052,4667242
19053,5402225
19054,4642238
19055,5627355
19056,4777308
19057,5610931
19058,4963884
19059,5806713
19060,4914666
19061,6036747
19062,5104338
19063,5962972
19064,5343076
19065,6152817
19066,5275580
19067,6432739
19068,5434752
19069,6405419
19070,5663130
19071,6591064
19072,5637440
19073,6829846
19074,5842230
19075,6793632
19076,6071928
19077,7028401
19078,5994836
19079,7327527
19080,6192158
19081,7265226
19082,6489860
19083,7463987
19084,6447496
19085,7762166
19086,6636468
19087,7745581
19088,6888052
19089,8014747
19090,6830604
19091,8304405
19092,7082106
19093,8223395
19094,7399328
19095,8478778
19096,7332418
19097,8841825
19098,7524548
19099,8818205
19100,7835388
19101,9067967
19102,7812952
19103,9392966
19104,8082000
19105,9333165
19106,8391696
19107,9655350
19108,8298428
19109,10051840
19110,8567230
19111,9980131
19112,8941854
19113,10245452
19114,8908310
19115,10637436
19116,9161736
