v,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,2
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,2
104,0
105,0
106,4
107,0
108,0
109,2
110,3
111,0
112,4
113,0
114,3
115,2
116,2
117,0
118,9
119,0
120,5
121,0
122,7
123,2
124,9
125,4
126,6
127,6
128,4
129,0
130,20
131,2
132,7
133,8
134,11
135,4
136,17
137,6
138,13
139,12
140,16
141,4
142,35
143,2
144,14
145,18
146,19
147,12
148,36
149,6
150,28
151,16
152,29
153,6
154,57
155,14
156,24
157,30
158,36
159,20
160,60
161,18
162,53
163,32
164,39
165,20
166,86
167,24
168,52
169,52
170,69
171,20
172,99
173,30
174,74
175,66
176,73
177,42
178,134
179,34
180,103
181,68
182,116
183,54
184,137
185,64
186,112
187,108
188,112
189,62
190,224
191,56
192,145
193,120
194,160
195,92
196,217
197,102
198,190
199,144
200,196
201,92
202,325
203,100
204,215
205,196
206,227
207,138
208,329
209,132
210,306
211,214
212,281
213,164
214,428
215,178
216,300
217,298
218,352
219,190
220,487
221,198
222,443
223,312
224,399
225,266
226,587
227,248
228,448
229,394
230,519
231,284
232,696
233,298
234,576
235,470
236,545
237,374
238,842
239,348
240,668
241,520
242,719
243,426
244,888
245,482
246,795
247,638
248,748
249,494
250,1178
251,454
252,956
253,762
254,919
255,608
256,1176
257,664
258,1081
259,866
260,1097
261,654
262,1527
263,654
264,1199
265,1060
266,1242
267,868
268,1579
269,810
270,1507
271,1124
272,1443
273,970
274,1951
275,924
276,1556
277,1384
278,1681
279,1074
280,2177
281,1092
282,1951
283,1490
284,1802
285,1364
286,2447
287,1274
288,2102
289,1730
290,2247
291,1388
292,2783
293,1460
294,2487
295,2024
296,2289
297,1754
298,3174
299,1594
300,2772
301,2234
302,2888
303,1844
304,3426
305,1986
306,3135
307,2550
308,3011
309,2208
310,4094
311,2002
312,3574
313,2902
314,3473
315,2538
316,4269
317,2550
318,3961
319,3148
320,3952
321,2696
322,5179
323,2668
324,4323
325,3738
326,4310
327,3206
328,5358
329,3132
330,5205
331,3818
332,4921
333,3512
334,6246
335,3444
336,5377
337,4712
338,5413
339,3852
340,6776
341,3872
342,6355
343,4982
344,5925
345,4568
346,7463
347,4300
348,6752
349,5592
350,6985
351,4782
352,8232
353,4830
354,7586
355,6262
356,7250
357,5724
358,9293
359,5070
360,8428
361,6736
362,8513
363,5954
364,9916
365,6214
366,9103
367,7606
368,8829
369,6872
370,11371
371,6296
372,10264
373,8282
374,9975
375,7530
376,11842
377,7562
378,11326
379,9012
380,10941
381,8058
382,13679
383,7768
384,12087
385,10400
386,11940
387,9072
388,14269
389,8914
390,13843
391,10598
392,13264
393,10076
394,15853
395,9698
396,14329
397,12480
398,14324
399,10794
400,17441
401,10470
402,16444
403,12902
404,15442
405,12306
406,18823
407,11660
408,17226
409,14392
410,17481
411,12766
412,20457
413,12886
414,19237
415,15574
416,18150
417,14668
418,22385
419,13464
420,20934
421,17014
422,20569
423,15326
424,23651
425,15672
426,22279
427,18646
428,21669
429,17014
430,26559
431,15774
432,24721
433,20164
434,23899
435,18630
436,27364
437,18420
438,26423
439,21496
440,25890
441,19952
442,31162
443,18726
444,28253
445,24096
446,27675
447,21874
448,32398
449,21290
450,31352
451,24668
452,30235
453,23756
454,35451
455,22876
456,32747
457,27928
458,32350
459,24998
460,38309
461,24494
462,36680
463,29218
464,34245
465,28198
466,40709
467,26624
468,38344
469,32124
470,38314
471,28680
472,43983
473,28962
474,41721
475,34348
476,39699
477,32900
478,47029
