a,character,columns
181275,154065,182687
181276,98284,182676
181277,98393,182676
181278,98502,182676
181279,98611,182676
181280,153760,182651
181281,153797,182651
181282,153834,182651
181283,153871,182651
181284,153908,182651
181285,153945,182651
181286,153982,182651
181287,154019,182651
181288,154056,182651
181289,154093,182651
181290,154130,182651
181291,154167,182651
181292,154204,182651
181293,154241,182651
181294,156752,182659
181295,156776,182659
181296,156816,182659
181297,156947,182659
181298,157078,182659
181299,157209,182659
181300,157340,182659
181301,157471,182659
181302,157602,182659
181303,157733,182659
181304,157854,182649
181305,99114,182640
181306,99236,182640
181307,99358,182640
181308,99480,182640
181309,99602,182640
181310,99724,182640
181311,99846,182640
181312,99968,182640
181313,159435,182635
181314,159446,182635
181315,159457,182635
181316,159468,182635
181317,159567,182635
181318,159698,182635
181319,159501,182635
181320,159512,182635
181321,159523,182635
181322,159534,182635
181323,159545,182635
181324,159556,182635
181325,159567,182635
181326,159578,182635
181327,159589,182635
181328,159600,182635
181329,159611,182635
181330,159622,182635
181331,159633,182635
181332,159644,182635
181333,159696,182635
181334,159840,182635
181335,159984,182635
181336,160128,182635
181337,160272,182635
181338,160416,182635
181339,160560,182635
181340,160704,182635
181341,160848,182635
181342,160992,182635
181343,161136,182635
181344,161280,182635
181345,161424,182635
181346,161568,182635
181347,161712,182635
181348,161856,182635
181349,162000,182635
181350,162144,182635
181351,162288,182635
181352,162432,182635
181353,162576,182635
181354,108480,182627
181355,108576,182627
181356,108672,182627
181357,108768,182627
181358,108864,182627
181359,108960,182627
181360,109056,182627
181361,109152,182627
181362,109248,182627
181363,109344,182627
181364,117260,182648
181365,117291,182648
181366,117322,182648
181367,117353,182648
181368,117384,182648
181369,117415,182648
181370,117446,182648
181371,117477,182648
181372,117508,182648
181373,117539,182648
181374,117570,182648
181375,117601,182648
181376,117632,182648
181377,117663,182648
181378,117694,182648
181379,117725,182648
181380,117756,182648
181381,117787,182648
181382,117818,182648
181383,117849,182648
181384,117880,182648
181385,117911,182648
181386,117942,182648
181387,117973,182648
181388,119255,182666
181389,119274,182667
181390,119292,182667
181391,119310,182667
181392,119328,182667
181393,119346,182667
181394,119364,182667
181395,119382,182667
181396,119400,182667
181397,119418,182667
181398,119436,182667
181399,119454,182667
181400,119472,182667
181401,119490,182667
181402,119508,182667
181403,119526,182667
181404,118500,182684
181405,118531,182684
181406,118562,182684
181407,118593,182684
181408,118624,182684
181409,118655,182684
